"row_num","Time","Country","Value"
1,2017,Australia,11040
2,2017,United States of America,8782
3,2017,Malaysia,5823
4,2017,United Kingdom of Great Britain and Northern Ireland,3620
5,2017,Japan,3616
6,2017,Germany,2394
7,2017,Saudi Arabia,1806
8,2017,Netherlands,1583
9,2017,Republic of Korea,919
10,2017,Canada,888
11,2017,France,822
12,2017,Türkiye,732
13,2017,New Zealand,705
14,2017,"China, Hong Kong Special Administrative Region",394
15,2017,India,291
16,2017,Italy,277
17,2017,Sweden,155
18,2017,Finland,99
19,2017,Jordan,73
20,2017,Switzerland,72
21,2017,Austria,66
22,2017,Morocco,66
23,2017,Spain,63
24,2017,Belgium,62
25,2017,Poland,57
26,2017,Russian Federation,56
27,2017,Denmark,50
28,2017,Brunei Darussalam,49
29,2017,Norway,45
30,2017,Ireland,42
31,2017,Qatar,42
32,2017,Tunisia,36
33,2017,Hungary,28
34,2017,Czechia,22
35,2017,Brazil,12
36,2017,Portugal,11
37,2017,South Africa,8
38,2017,Estonia,7
39,2017,Serbia,6
40,2017,Iran (Islamic Republic of),6
41,2017,Cuba,6
42,2017,Greece,5
43,2017,Oman,5
44,2017,Romania,5
45,2017,Luxembourg,5
46,2017,Sri Lanka,5
47,2017,Azerbaijan,4
48,2017,Slovakia,4
49,2017,Iceland,4
50,2017,Cyprus,2
51,2017,Mongolia,2
52,2017,Ukraine,2
53,2017,Grenada,2
54,2017,Namibia,2
55,2017,"China, Macao Special Administrative Region",1
56,2017,Liechtenstein,1
57,2017,Colombia,1
58,2017,Bulgaria,1
59,2017,Argentina,1
60,2017,Malta,1
61,2017,Slovenia,1
62,2017,Croatia,1
63,2017,Lithuania,1
64,2017,Mozambique,0
65,2017,Singapore,0
66,2017,Honduras,0
67,2017,Indonesia,0
68,2017,North Macedonia,0
69,2017,Côte d'Ivoire,0
70,2017,Algeria,0
71,2017,El Salvador,0
72,2017,Cabo Verde,0
73,2017,Bahrain,0
74,2017,Lebanon,0
75,2017,Belarus,0
76,2017,Kyrgyzstan,0
77,2017,Benin,0
78,2017,Viet Nam,0
79,2017,Samoa,0
80,2017,Bermuda,0
81,2017,Guinea,0
82,2017,Lesotho,0
83,2017,Seychelles,0
84,2017,Republic of Moldova,0
85,2017,Tajikistan,0
86,2017,Saint Lucia,0
87,2017,Mauritania,0
88,2017,Rwanda,0
89,2017,Lao People's Democratic Republic,0
90,2017,Latvia,0
91,2017,Cameroon,0
92,2017,Palestine,0
93,2017,Mauritius,0
94,2017,Madagascar,0
95,2017,Burkina Faso,0
96,2017,Armenia,0
97,2017,Bosnia and Herzegovina,0
98,2017,Kazakhstan,0
99,2017,Georgia,0
100,2017,Niger,0
101,2017,Mexico,0
102,2017,Andorra,0
103,2017,Uzbekistan,0
104,2017,Ghana,0
105,2017,Kenya,0
106,2017,Burundi,0
107,2017,Dominican Republic,0
108,2017,Senegal,0
109,2017,Costa Rica,0
110,2017,Monaco,0
111,2017,Togo,0
112,2017,Botswana,0
113,2017,Sint Maarten (Dutch part),0
114,2017,Chile,0
115,2017,Belize,0
116,2017,China,0
1,2018,Australia,12180
2,2018,United States of America,8452
3,2018,Japan,4187
4,2018,United Kingdom of Great Britain and Northern Ireland,2986
5,2018,Germany,2419
6,2018,Saudi Arabia,1715
7,2018,Netherlands,1569
8,2018,Republic of Korea,1006
9,2018,Canada,951
10,2018,France,808
11,2018,Türkiye,792
12,2018,New Zealand,717
13,2018,"China, Hong Kong Special Administrative Region",457
14,2018,Italy,280
15,2018,Sweden,172
16,2018,India,126
17,2018,Jordan,104
18,2018,Finland,101
19,2018,Spain,81
20,2018,Poland,80
21,2018,Hungary,78
22,2018,Russian Federation,75
23,2018,Austria,71
24,2018,Switzerland,69
25,2018,Norway,69
26,2018,Morocco,69
27,2018,Denmark,62
28,2018,Brunei Darussalam,53
29,2018,Belgium,47
30,2018,Ireland,43
31,2018,Tunisia,42
32,2018,Qatar,42
33,2018,Iran (Islamic Republic of),22
34,2018,Portugal,18
35,2018,Czechia,15
36,2018,Brazil,13
37,2018,Serbia,10
38,2018,Estonia,10
39,2018,Sri Lanka,10
40,2018,South Africa,8
41,2018,Cuba,7
42,2018,Oman,6
