"row_num","Country","Year","Value"
1,China,2017,839758
2,India,2017,327377
3,Germany,2017,122286
4,Viet Nam,2017,93590
5,France,2017,93568
6,the Republic of Korea,2017,91065
7,Kazakhstan,2017,84196
8,Nigeria,2017,82505
9,Saudi Arabia,2017,81471
10,the United States,2017,80819
11,the Ukraine,2017,77126
12,Italy,2017,73369
13,unknown countries,2017,68568
14,Nepal,2017,63828
15,Malaysia,2017,58457
16,Brazil,2017,57035
17,Bangladesh,2017,56963
18,the Russian Federation,2017,55547
19,Morocco,2017,50670
20,the Islamic Republic of Iran,2017,50379
21,Pakistan,2017,49114
22,Canada,2017,48199
23,the Syrian Arab Republic,2017,46314
24,Turkmenistan,2017,46119
25,Turkey,2017,44982
26,Indonesia,2017,44887
27,Azerbaijan,2017,42652
28,Colombia,2017,41873
29,Spain,2017,41250
30,Greece,2017,37770
31,"Hong Kong, Special Administrative Region of China",2017,36426
32,Romania,2017,35910
33,the United Kingdom,2017,35238
34,Uzbekistan,2017,34690
35,Mexico,2017,33882
36,Slovakia,2017,32438
37,Japan,2017,31307
38,Peru,2017,30839
39,Thailand,2017,29927
40,Egypt,2017,29241
41,Afghanistan,2017,28964
42,Iraq,2017,28073
43,Algeria,2017,25237
44,Cameroon,2017,25061
45,Poland,2017,25051
46,Bulgaria,2017,25028
47,Cyprus,2017,24429
48,Singapore,2017,23394
49,Belarus,2017,22283
50,Tunisia,2017,22102
51,Kuwait,2017,21957
52,the Yemen,2017,21920
53,Ecuador,2017,20745
54,Palestine,2017,20652
55,Sri Lanka,2017,20398
56,the Bolivarian Republic of Venezuela,2017,19848
57,Tajikistan,2017,19537
58,Austria,2017,19131
59,Zimbabwe,2017,18940
60,the Republic of Moldova,2017,18675
61,Jordan,2017,18483
62,the Netherlands,2017,18174
63,Norway,2017,17609
64,Albania,2017,17430
65,the Philippines,2017,16459
66,Sweden,2017,16388
67,Lebanon,2017,16266
68,Serbia,2017,15904
69,the Plurinational State of Bolivia,2017,15615
70,Chile,2017,15461
71,Bosnia and Herzegovina,2017,15391
72,Angola,2017,15252
73,Ireland,2017,14958
74,Belgium,2017,14882
75,Israel,2017,14858
76,Kenya,2017,14634
77,Switzerland,2017,14224
78,Portugal,2017,14064
79,Côte d'Ivoire,2017,13576
80,Ghana,2017,13492
81,Paraguay,2017,13371
82,Australia,2017,13212
83,the Czechia,2017,13159
84,Senegal,2017,12499
85,Hungary,2017,12317
86,the Congo,2017,11477
87,Libya,2017,11322
88,Kyrgyzstan,2017,11316
89,Sudan,2017,11315
90,Georgia,2017,11290
91,the Democratic Republic of the Congo,2017,11268
92,the United Arab Emirates,2017,11244
93,Luxembourg,2017,11017
94,Oman,2017,10929
95,Finland,2017,10865
96,Mongolia,2017,10550
97,Lithuania,2017,10405
98,South Africa,2017,10347
99,Croatia,2017,9668
100,Haiti,2017,9419
101,Mali,2017,8993
102,Guinea,2017,8876
103,Argentina,2017,8059
104,Mauritius,2017,7584
105,Chad,2017,7087
106,Benin,2017,7043
107,Gabon,2017,7016
108,Myanmar,2017,7002
109,Ethiopia,2017,6806
110,the United Republic of Tanzania,2017,6752
111,Qatar,2017,6190
112,Togo,2017,6004
113,Burkina Faso,2017,5886
114,Armenia,2017,5834
115,Uganda,2017,5474
116,North Macedonia,2017,5344
117,Latvia,2017,5288
118,Denmark,2017,5246
119,Somalia,2017,5132
120,Zambia,2017,5053
121,Bahrain,2017,4837
122,Uruguay,2017,4807
123,Cambodia,2017,4799
124,Montenegro,2017,4797
125,Madagascar,2017,4751
126,New Zealand,2017,4681
127,Jamaica,2017,4626
128,Mauritania,2017,4437
129,Namibia,2017,4393
130,Niger,2017,4383
131,Dominican Republic,2017,4230
132,Lao People's Democratic Republic,2017,4156
133,Bhutan,2017,4080
134,Rwanda,2017,3919
135,Estonia,2017,3882
136,El Salvador,2017,3855
137,Honduras,2017,3840
138,Bahamas,2017,3532
139,Cape Verde,2017,3383
140,"Macao, Special Administrative Region of China",2017,3354
141,Slovenia,2017,3313
142,Panama,2017,3180
143,Brunei Darussalam,2017,3132
144,Guatemala,2017,3068
145,Lesotho,2017,3018
146,Guinea-Bissau,2017,2985
147,Comoros,2017,2928
148,Costa Rica,2017,2914
149,Mozambique,2017,2866
150,Burundi,2017,2853
151,Maldives,2017,2828
152,Trinidad and Tobago,2017,2825
153,Nicaragua,2017,2729
154,Iceland,2017,2641
155,Timor-Leste,2017,2507
156,Botswana,2017,2499
157,Eswatini,2017,2395
158,Malawi,2017,2346
159,Cuba,2017,2294
160,Djibouti,2017,2199
161,Eritrea,2017,1695
162,the Central African Republic,2017,1680
163,the Gambia,2017,1669
164,Bermuda,2017,1635
165,Equatorial Guinea,2017,1493
166,Andorra,2017,1449
167,Papua New Guinea,2017,1442
168,Fiji,2017,1419
169,Sierra Leone,2017,1271
170,the Democratic People's Republic of Korea,2017,1184
171,Malta,2017,1062
172,Liechtenstein,2017,1037
173,Sao Tome and Principe,2017,987
174,Gibraltar,2017,941
175,Liberia,2017,896
176,Barbados,2017,891
177,Suriname,2017,862
178,San Marino,2017,834
179,Guyana,2017,699
180,Belize,2017,642
181,South Sudan,2017,570
182,Dominica,2017,515
183,Saint Lucia,2017,513
184,the Cayman Islands,2017,509
185,Seychelles,2017,491
186,Samoa,2017,487
187,Antigua and Barbuda,2017,474
188,Tonga,2017,442
189,Monaco,2017,435
190,Saint Kitts and Nevis,2017,376
191,Grenada,2017,347
192,the British Virgin Islands,2017,311
193,the Solomon Islands,2017,311
194,Aruba,2017,242
195,Saint Vincent and the Grenadines,2017,235
196,Kiribati,2017,214
197,the Federated States of Micronesia,2017,184
198,the Turks and Caicos Islands,2017,177
199,the Marshall Islands,2017,174
200,Vanuatu,2017,163
201,Anguilla,2017,154
202,Tuvalu,2017,83
203,Palau,2017,39
204,Nauru,2017,38
205,the Holy See,2017,29
206,Montserrat,2017,25
207,Niue,2017,8
208,the Cook Islands,2017,4
209,Tokelau,2017,2
1,China,2018,891606
2,India,2018,359677
3,Germany,2018,121799
4,Viet Nam,2018,106911
5,France,2018,98054
6,Kazakhstan,2018,86487
7,the Republic of Korea,2018,86210
8,Nepal,2018,81156
9,the United States,2018,78846
10,the Ukraine,2018,77799
11,Italy,2018,75745
12,Saudi Arabia,2018,73344
13,Brazil,2018,68826
14,Nigeria,2018,64154
15,unknown countries,2018,63837
16,Malaysia,2018,56739
17,the Syrian Arab Republic,2018,56412
18,the Russian Federation,2018,55839
19,the Islamic Republic of Iran,2018,52916
20,Morocco,2018,51001
21,Pakistan,2018,48606
22,Turkmenistan,2018,48197
23,Colombia,2018,48172
24,Canada,2018,46825
25,Turkey,2018,46707
26,Azerbaijan,2018,44038
27,Spain,2018,41969
28,Uzbekistan,2018,41480
29,Indonesia,2018,40081
30,Greece,2018,39024
31,Romania,2018,37411
32,"Hong Kong, Special Administrative Region of China",2018,36358
33,the United Kingdom,2018,34727
34,Mexico,2018,33305
35,Peru,2018,33125
36,Egypt,2018,32086
37,Bangladesh,2018,31432
38,Slovakia,2018,31429
39,Japan,2018,31055
40,Thailand,2018,29864
41,Algeria,2018,29040
42,Afghanistan,2018,28866
43,Iraq,2018,27992
44,Cyprus,2018,26471
45,Poland,2018,26263
46,Bulgaria,2018,25019
47,Tajikistan,2018,24878
48,Cameroon,2018,24473
49,the Bolivarian Republic of Venezuela,2018,23673
50,Tunisia,2018,23563
51,Kuwait,2018,23438
52,Singapore,2018,22785
53,Ecuador,2018,22618
54,Belarus,2018,22611
55,Palestine,2018,22345
56,Sri Lanka,2018,21890
57,Austria,2018,21434
58,the Republic of Moldova,2018,20845
59,Jordan,2018,19006
60,Albania,2018,18692
61,the Yemen,2018,18590
62,Zimbabwe,2018,18574
63,the Philippines,2018,17585
64,the Netherlands,2018,17177
65,the Plurinational State of Bolivia,2018,17163
66,Norway,2018,17113
67,Chile,2018,16527
68,Lebanon,2018,16363
69,Switzerland,2018,16319
