Universitas,Country,YEAR,Student
Oxford,Indonesia,2006,10
Oxford,Indonesia,2007,5
Oxford,Indonesia,2008,5
Oxford,Indonesia,2009,5
Oxford,Indonesia,2010,10
Oxford,Indonesia,2011,15
Oxford,Indonesia,2012,15
Oxford,Indonesia,2013,30
Oxford,Indonesia,2014,30
Oxford,Indonesia,2015,35
Oxford,Indonesia,2016,45
Oxford,Indonesia,2017,50
Oxford,Indonesia,2018,60
Oxford,Indonesia,2019,65
Oxford,Indonesia,2021,80
Oxford,Indonesia,2022,85
Oxford,Indonesia,2023,100
Stanford,Indonesia,2015,19
Stanford,Indonesia,2016,17
Stanford,Indonesia,2017,15
Stanford,Indonesia,2018,17
Stanford,Indonesia,2019,18
Stanford,Indonesia,2021,24
Stanford,Indonesia,2022,31
Yale,Indonesia,2018,18
Yale,Indonesia,2019,13
Yale,Indonesia,2020,14
Yale,Indonesia,2021,11
Yale,Indonesia,2022,15
Princeton,Indonesia,2014,4
Princeton,Indonesia,2015,5
Princeton,Indonesia,2016,4
Princeton,Indonesia,2017,6
Princeton,Indonesia,2018,6
Princeton,Indonesia,2019,9
Princeton,Indonesia,2020,6
Princeton,Indonesia,2021,5
Princeton,Indonesia,2022,8
Princeton,Indonesia,2023,10
MIT,Indonesia,1998,17
MIT,Indonesia,1999,16
MIT,Indonesia,2000,19
MIT,Indonesia,2001,19
MIT,Indonesia,2002,17
MIT,Indonesia,2003,20
MIT,Indonesia,2004,16
MIT,Indonesia,2005,14
MIT,Indonesia,2006,19
MIT,Indonesia,2007,21
MIT,Indonesia,2008,25
MIT,Indonesia,2011,23
MIT,Indonesia,2012,22
MIT,Indonesia,2013,20
MIT,Indonesia,2014,16
MIT,Indonesia,2015,15
MIT,Indonesia,2016,15
MIT,Indonesia,2017,22
MIT,Indonesia,2018,19
MIT,Indonesia,2019,26
MIT,Indonesia,2020,27
MIT,Indonesia,2021,29
MIT,Indonesia,2022,38
MIT,Indonesia,2023,38
California,Indonesia,2004,82
California,Indonesia,2005,13
California,Indonesia,2006,14
California,Indonesia,2007,13
California,Indonesia,2008,13
California,Indonesia,2009,78
California,Indonesia,2010,85
California,Indonesia,2011,94
California,Indonesia,2012,103
California,Indonesia,2013,133
California,Indonesia,2014,155
California,Indonesia,2015,159
California,Indonesia,2016,146
California,Indonesia,2017,148
California,Indonesia,2018,142
California,Indonesia,2019,136
California,Indonesia,2020,131
California,Indonesia,2021,171
California,Indonesia,2022,182
California,Indonesia,2023,187
Cambridge,Indonesia,2008,10
Cambridge,Indonesia,2009,7
Cambridge,Indonesia,2010,12
Cambridge,Indonesia,2011,11
Cambridge,Indonesia,2012,15
Cambridge,Indonesia,2013,12
Cambridge,Indonesia,2014,17
Cambridge,Indonesia,2015,21
Cambridge,Indonesia,2016,24
Cambridge,Indonesia,2017,33
Cambridge,Indonesia,2018,40
Cambridge,Indonesia,2019,39
Cambridge,Indonesia,2020,49
Cambridge,Indonesia,2021,51
