"No","Country","un","g","Student","Year"
1,Argentina,2,20,20,2008
2,Armenia,3,0,3,2008
3,Australia,3,32,35,2008
4,Austria,0,13,13,2008
5,Azerbaijan,0,1,1,2008
6,Bahrain,1,1,2,2008
7,Bangladesh,3,4,7,2008
8,Belarus,0,2,2,2008
9,Belgium,2,10,12,2008
10,Benin,0,1,1,2008
11,Bhutan,0,1,1,2008
12,Bolivia,0,1,1,2008
13,Bosnia-Hercegovina,1,0,1,2008
14,Brazil,10,54,64,2008
15,Bulgaria,9,12,21,2008
16,Burma (Myanmar),3,1,4,2008
17,Cambodia,2,0,2,2008
18,Cameroon,4,0,4,2008
19,Canada,26,118,214,2008
20,Chile,0,28,28,2008
21,China,33,372,405,2008
22,Colombia,2,21,23,2008
23,Costa Rica,2,6,8,2008
24,Croatia,0,6,6,2008
25,Cyprus,2,7,9,2008
26,Czech Republic,0,4,4,2008
27,Denmark,2,5,7,2008
28,Dominican Republic,0,3,3,2008
29,Ecuador,1,4,5,2008
30,Egypt,2,6,8,2008
31,El Salvador,11,2,3,2008
32,Estonia,0,2,2,2008
33,Ethiopia,2,1,3,2008
34,Finland,1,2,3,2008
35,France,4,97,101,2008
36,Gaza Strip,1,0,1,2008
37,Georgia,1,0,1,2008
38,Germany,4,105,109,2008
39,Ghana,8,3,11,2008
40,Greece,2,51,53,2008
41,Guatemala,1,1,2,2008
42,Hong Kong,4,21,25,2008
43,Hungary,0,4,4,2008
44,Iceland,0,7,7,2008
45,India,32,246,278,2008
46,Indonesia,6,19,25,2008
47,Iran,1,27,28,2008
48,Ireland,1,11,12,2008
49,Israel,6,50,56,2008
50,Italy,4,74,78,2008
51,Jamaica,7,2,9,2008
52,Japan,1,80,81,2008
53,Jordan,5,1,6,2008
54,Kazakhstan,2,1,3,2008
55,Kenya,12,4,16,2008
56,South Korea,19,253,272,2008
57,Kuwait,3,2,5,2008
58,Kyrgyzstan,2,0,2,2008
59,Latvia,0,3,3,2008
60,Lebanon,6,20,26,2008
61,Macedonia,1,1,2,2008
62,Madagascar,1,0,1,2008
63,Malaysia,7,22,29,2008
64,Mauritania,0,1,1,2008
65,Mauritius,2,1,3,2008
66,Mexico,8,54,62,2008
67,Moldova,5,2,7,2008
68,Mongolia,3,0,3,2008
69,Montenegro,0,1,1,2008
70,Morocco,1,3,4,2008
71,Nepal,3,6,9,2008
72,Netherlands,0,14,14,2008
73,New Zealand,1,10,11,2008
74,Nicaragua,0,1,1,2008
75,Niger,1,0,1,2008
76,Nigeria,4,10,14,2008
77,Norway,1,7,8,2008
78,Pakistan,10,23,33,2008
79,Panama,3,1,4,2008
80,Peru,2,1,4,2008
81,Philippines,2,12,14,2008
82,Poland,5,8,13,2008
83,Portugal,2,21,23,2008
84,Romania,5,18,23,2008
85,Russia,3,25,28,2008
