"No","Country","Student","Year"
1,Albania,2,2018
2,Algeria,1,2018
3,Argentina,16,2018
4,Australia,46,2018
5,Austria,12,2018
6,Azerbaijan,3,2018
7,The Bahamas,1,2018
8,Bahrain,2,2018
9,Bangladesh,11,2018
10,Barbados,1,2018
11,Belarus,2,2018
12,Belgium,8,2018
13,Belize,1,2018
14,Benin,1,2018
15,Bhutan,1,2018
16,Bolivia,1,2018
17,Bosnia and Herzegovina,1,2018
18,Brazil,73,2018
19,Bulgaria,9,2018
20,Myanmar,3,2018
21,Burundi,1,2018
22,Cameroon,3,2018
23,Canada,249,2018
24,Chile,11,2018
25,China,879,2018
26,Colombia,15,2018
27,Democratic Republic of the Congo,1,2018
28,Costa Rica,3,2018
29,Ivory Coast,2,2018
30,Croatia,3,2018
31,Cyprus,1,2018
32,Czech Republic,10,2018
33,Denmark,7,2018
34,Dominica,1,2018
35,Dominican Republic,2,2018
36,Ecuador,6,2018
37,Egypt,5,2018
38,El Salvador,2,2018
39,Estonia,5,2018
40,Ethiopia,9,2018
41,Finland,3,2018
42,France,45,2018
43,Gambia,1,2018
44,Georgia,4,2018
45,Germany,85,2018
46,Ghana,19,2018
47,Greece,15,2018
48,Guatemala,6,2018
49,Guyana,1,2018
50,Honduras,6,2018
51,Hong Kong S.A.R.,40,2018
52,Hungary,5,2018
53,Iceland,3,2018
54,India,226,2018
55,Indonesia,18,2018
56,Iran,13,2018
57,Ireland,17,2018
58,Israel,43,2018
59,Italy,45,2018
60,Jamaica,3,2018
61,Japan,56,2018
62,Jordan,4,2018
63,Kenya,25,2018
64,South Korea,154,2018
65,Kuwait,5,2018
66,Latvia,1,2018
67,Lebanon,5,2018
68,Lithuania,4,2018
69,Macedonia,2,2018
70,Madagascar,2,2018
71,Malawi,1,2018
72,Malaysia,17,2018
73,Mauritius,2,2018
74,Mexico,51,2018
75,Moldova,1,2018
76,Mongolia,1,2018
77,Morocco,6,2018
78,Nepal,13,2018
79,Netherlands,11,2018
80,New Zealand,18,2018
81,Nicaragua,2,2018
82,Nigeria,32,2018
83,Norway,3,2018
84,Pakistan,23,2018
85,Panama,2,2018
86,Peru,23,2018
87,Philippines,11,2018
88,Poland,15,2018
89,Portugal,6,2018
90,Romania,7,2018
91,Russia,22,2018
92,Rwanda,4,2018
93,Saudi Arabia,6,2018
94,Republic of Serbia,8,2018
95,Singapore,62,2018
96,Slovakia,3,2018
97,Slovenia,1,2018
98,South Africa,17,2018
99,South Sudan,1,2018
100,Spain,22,2018
101,Sri Lanka,3,2018
102,Sudan,1,2018
103,Swaziland,1,2018
104,Sweden,10,2018
105,Switzerland,12,2018
106,Taiwan,37,2018
107,United Republic of Tanzania,7,2018
108,Thailand,16,2018
109,Trinidad and Tobago,3,2018
110,Tunisia,1,2018
111,Turkey,52,2018
112,Turkmenistan,1,2018
113,Uganda,3,2018
114,Ukraine,10,2018
115,United Arab Emirates,1,2018
116,United Kingdom,140,2018
117,Uruguay,2,2018
118,Uzbekistan,2,2018
119,Venezuela,4,2018
120,Vietnam,18,2018
121,West Bank,1,2018
122,Zambia,1,2018
123,Zimbabwe,13,2018
124,Afghanistan,1,2019
125,Albania,1,2019
126,Algeria,1,2019
127,Antigua and Barbuda,0,2019
128,Argentina,11,2019
129,Armenia,1,2019
130,Australia,54,2019
131,Austria,13,2019
132,Azerbaijan,2,2019
133,The Bahamas,1,2019
134,Bahrain,2,2019
135,Bangladesh,10,2019
136,Barbados,2,2019
137,Belarus,3,2019
138,Belgium,6,2019
139,Belize,0,2019
140,Benin,0,2019
141,Bhutan,0,2019
142,Bolivia,1,2019
143,Bosnia and Herzegovina,1,2019
144,Botswana,0,2019
145,Brazil,72,2019
146,Brunei,0,2019
147,Bulgaria,9,2019
148,Burkina Faso,1,2019
149,Myanmar,3,2019
150,Burundi,0,2019
151,Cambodia,0,2019
152,Cameroon,1,2019
153,Canada,254,2019
154,Chile,9,2019
155,China,963,2019
156,Colombia,14,2019
157,Republic of the Congo,1,2019
158,Costa Rica,4,2019
159,Ivory Coast,0,2019
160,Croatia,2,2019
161,Cyprus,2,2019
162,Czech Republic,7,2019
163,Denmark,13,2019
164,Dominica,0,2019
165,Dominican Republic,1,2019
166,Ecuador,8,2019
167,Egypt,2,2019
168,El Salvador,0,2019
169,Estonia,3,2019
170,Ethiopia,8,2019
171,Fiji,0,2019
172,Finland,5,2019
173,France,32,2019
174,Gambia,2,2019
175,Georgia,3,2019
176,Germany,105,2019
177,Ghana,20,2019
178,Gibraltar,0,2019
179,Greece,19,2019
180,Guatemala,5,2019
181,Guernsey,0,2019
182,Guyana,1,2019
183,Honduras,5,2019
184,Hong Kong S.A.R.,31,2019
185,Hungary,5,2019
186,Iceland,4,2019
187,India,232,2019
188,Indonesia,13,2019
189,Iran,9,2019
190,Iraq,0,2019
191,Ireland,12,2019
192,Israel,37,2019
193,Italy,42,2019
194,Jamaica,3,2019
195,Japan,46,2019
196,Jordan,3,2019
197,Kazakhstan,1,2019
198,Kenya,23,2019
199,South Korea,151,2019
200,Kosovo,1,2019
201,Kuwait,2,2019
202,Latvia,1,2019
203,Lebanon,5,2019
204,Lithuania,3,2019
205,Luxembourg,2,2019
206,Macau S.A.R,0,2019
207,Macedonia,1,2019
208,Madagascar,0,2019
209,Malawi,1,2019
210,Malaysia,15,2019
211,Mauritius,2,2019
212,Mexico,55,2019
213,Moldova,1,2019
214,Mongolia,2,2019
215,Montenegro,2,2019
216,Morocco,4,2019
217,Nepal,9,2019
218,Netherlands,12,2019
219,New Zealand,21,2019
220,Nicaragua,3,2019
221,Nigeria,27,2019
222,Norway,3,2019
223,Pakistan,16,2019
224,Paraguay,2,2019
225,Panama,0,2019
226,Peru,20,2019
227,Philippines,11,2019
228,Poland,12,2019
229,Portugal,5,2019
230,Romania,8,2019
231,Russia,23,2019
232,Rwanda,5,2019
233,Saint Kitts and Nevis,1,2019
234,Saudi Arabia,5,2019
235,Senegal,0,2019
236,Republic of Serbia,5,2019
237,Singapore,62,2019
238,Slovakia,2,2019
239,Slovenia,2,2019
240,Somalia,0,2019
241,South Africa,14,2019
242,South Sudan,1,2019
243,Spain,20,2019
244,Sri Lanka,4,2019
245,Stateless,0,2019
246,Sudan,0,2019
247,Suriname,0,2019
248,Swaziland,0,2019
249,Sweden,11,2019
250,Switzerland,14,2019
251,Syria,0,2019
252,Taiwan,36,2019
253,United Republic of Tanzania,6,2019
254,Thailand,11,2019
255,Trinidad and Tobago,3,2019
256,Tunisia,2,2019
257,Turkey,47,2019
258,Turkmenistan,1,2019
259,Uganda,5,2019
260,Ukraine,7,2019
261,United Arab Emirates,0,2019
262,United Kingdom,138,2019
263,Uruguay,3,2019
264,Uzbekistan,2,2019
265,Venezuela,5,2019
266,Vietnam,21,2019
267,West Bank,1,2019
268,Zambia,2,2019
269,Zimbabwe,13,2019
270,Algeria,1,2020
271,Argentina,9,2020
272,Armenia,2,2020
273,Australia,26,2020
274,Austria,8,2020
275,Azerbaijan,1,2020
276,The Bahamas,1,2020
277,Bahrain,1,2020
278,Bangladesh,7,2020
279,Belarus,2,2020
280,Belgium,4,2020
281,Bosnia and Herzegovina,1,2020
282,Brazil,50,2020
283,Bulgaria,8,2020
284,Burkina Faso,1,2020
285,Myanmar,1,2020
286,Cameroon,2,2020
287,Canada,237,2020
288,Chile,9,2020
289,China,885,2020
290,Colombia,15,2020
291,Costa Rica,3,2020
292,Croatia,2,2020
293,Cyprus,2,2020
294,Czech Republic,6,2020
295,Denmark,7,2020
296,Dominican Republic,4,2020
297,Ecuador,4,2020
298,El Salvador,1,2020
299,Estonia,1,2020
300,Ethiopia,10,2020
301,Finland,1,2020
302,France,31,2020
303,Gambia,2,2020
304,Georgia,5,2020
305,Germany,65,2020
306,Ghana,20,2020
307,Greece,21,2020
308,Guatemala,6,2020
309,Guyana,1,2020
310,Honduras,6,2020
311,HONG KONG S.A.R.,29,2020
312,Hungary,3,2020
313,Iceland,3,2020
314,India,208,2020
315,Indonesia,14,2020
316,Iran,6,2020
317,Ireland,12,2020
318,Israel,31,2020
319,Italy,36,2020
320,Jamaica,3,2020
321,Japan,47,2020
322,Jordan,4,2020
323,Kazakhstan,3,2020
324,Kenya,25,2020
325,Kosovo,2,2020
326,Latvia,1,2020
327,Lebanon,5,2020
328,Liberia,1,2020
329,Lithuania,2,2020
330,Macau S.A.R,2,2020
331,Macedonia,1,2020
332,Malawi,2,2020
333,Malaysia,12,2020
334,Mauritius,2,2020
